item_no,name,diet_type,category,meal,ingredients,serving_size,calories,total fats(g),carb_type(g),total carbs(g),dietary fiber(g),total sugar(g),added sugar,proteins(g),sodium(mg),iodine,cholestrol (mg),vitamin b 
175,Saag Paneer,Veg,Curry,Lunch,"salt, spinach, jalapeno, onion, fresh ginger, sugar, oil, pepper, paneer, bay leaf, fenugreek, cumin seed, garam masala, light cream",200g,366,30,,10,2.6,4.5,,15,871,,56,
176,Chana Masala,Veg,Curry,Lunch,"olive oil, tomato, garlic, cilantro, onion, ginger root, bay leave, chili powder, turmeric, masala, chili pepper, coriander, canned chickpea",195g,281,16,,29,7.6,6.9,,7.7,240,,0,
177,Matar Paneer,Veg,Curry,Lunch,"tomato,garlic,green chili,onion,green pea,ginger,oil,paneer,chili powder,turmeric,ground coriander,cumin seed,masala,water",440g,599,46,,25,6.4,46,,23,1026,,69,
178,Butter Chicken,Non-Veg,Curry,Lunch,"salt, yoghurt, chicken, peanut oil, garlic, butter, corn starch, onion, lemon juice, black pepper, bay leaf, cumin, tomato puree, shallot, chilli powder, masala, cayenne pepper ",240,355,23,,14,2,6.7,,23,251,,91,
179,Prawn Curry,Non-Veg,Curry,Lunch,"Shrimp and aromatics,onion, tomato,coriander seeds,cumin seeds,vegetable oil,tamarind, red chili,curry leaves,chilli,salt",100,101,2.42,,2.43,0.5,0.58,0,14.42,242,,104,
180,Gobi Curry,Veg,Curry,Lunch,"olive oil, salt, cauliflower, cumin, curry powder, mustard seed",140g,61,3.8,,5.9,3.3,2.9,,2.7,285,,0,
181,Sev Bhaji,Veg,Curry,Lunch,"salt, clove garlic, onion, ginger, oil, chili powder, dried coconut, turmeric, garam masala, water, sev",298g,319,26,,21,5.2,6,,4.3,808,,0,
182,Lamb Curry,Non-Veg,Curry,Lunch,"vegetable oil,onions,tomatoes,garlic paste, ginger paste,ground coriander,ground cumin,ground turmeric,red chili powder, garam masala,lamb,Salt,cilantro,",100,109,5.86,,1.57,0.4,0.54,0,11.96,210,,38,
183,Fish Curry,Non-Veg,Curry,Lunch,"cashew, salt, tomato, canola oil, tomato, garlic, cilantro, onion, fresh ginger, sugar, vegetable broth, cumin, white fish, spice, coriander, cayenne ",210g,307,15,,6.1,1.1,2.7,,36,745,,109,
184,Toor Dal,Veg,Curry,Lunch,"Toor Dal, Water, Salt and Turmeric Powder,Ghee, Cumin Seeds, Garlic and Kashmiri Red Chilli Powder. 

","1 cup
",296,8.34,,45.35,13.3,4.39,0,14.23,551,,12,
185,Murgh Makhani,Non-Veg,Curry,Lunch,"chicken, salt, yoghurt, peanut oil, butter, garlic, corn starch, onion lemin juice, black pepper, bay leaf, cumin, chili powder, tomato puree, shallot, masala, cayenne pepper",240g,355,23,,14,2,6.7,,23,251,,92,
186,Egg Curry,Non-Veg,Curry,Lunch,"hard boiled eggs, onions, tomatoes, whole & ground spices and herbs,",100,114,7.11,,7.54,1.9,1.69,0,5.95,252,,162,
187,Brinjal Curry,Veg,Curry,Lunch,"Brinjal, garlic cloves, onion, tamarind garam masala powder, oil, water, and salt.",100,117,9.23,,9.18,3.8,2.42,0,1.77,190,,0,
188,Chole,Veg,Curry,Lunch,"olive oil, tomato, garlic, cilantro, onion, ginger root, bay leave, chili powder, turmeric, masala, chili pepper, coriander, canned chickpea",195g,281,16,,29,7.7,6.9,,7.7,240,,0,
189,Paneer Curry,Veg,Curry,Lunch,"curry sauce, paneer",236g,367,29,,10,1.5,4.1,,17,683,,62,
190,Paneer Tikka Masala,Veg,Curry,Lunch,"Paneer, Spice, Tomato, Garlic,",100,180,9,,18,1,1,0,8,400,,24,
191,Paneer Butter Masala,Veg,Curry,Lunch,"butter,cloves,onion,ginger,tomato ,cashew,turmeric,chilli powder,coriander powder,cumin powder,kasuri methi,cubes paneer",150,203,15,,9,2,0,0,8,579,,8,
192,"Dal Tadka
",Veg,Curry,Lunch,"toor dal ,masoor dal,turmeric,salt,oil,cumin,bay leaf,hing ,red chilli,clove garlic ,ginger,chilli,onion,kashmiri red chilli powder,coriander powder,salt,kasuri methi ,",100,100,2,,14,2,0,0,5,450,,0,
193,Dal Makhani,Veg,Curry,Lunch,"red kidney beans, red chilli powder,butter,chopped onion,tomato puree, fresh cream,ginger paste,salt, ginger,oil,green chilli,garam masala powder, urad dal,garlic paste",140,160,0,,16,2.5,0,0,6,730,,15,
194,,Non-Veg,"Curry, Poultry",Lunch,"Chicken,Onion tomato,Curd, Spices",100,129,5.2,,1.6,0,0.1,0,19,526,,80,
195,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,#N/A,,,,,,,
225,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,
245,Chicken Biryani,Non-Veg,Rice,Lunch,"vegetable oil, cauliflower,sweet potato,onion, curry paste,red chili pepper,mustard seed,uncooked rice, vegetable stock,green beans,lemon juice,  cilantro",169,198,3.9,,37,2,3.5,0,4.2,312,,0,
246,Mutton Biryani,Non-Veg,Rice,Lunch,"vegetable oil,potatoes,onion,garlic, ginger,chili powder, black pepper,turmeric,  cumin,salt,tomatoes,yogurt,mint,cardamom,cinnamon,mutton,rice,chicken stock",201,321,19,,19,1.5,3.1,0,19,402,,64,
247,Egg Biryani,Non-Veg,Rice,Lunch,"vegetable oil, rice,ginger garlic paste,potato,  jalapeno,onion,hard boiled egg, tomato,chili powder,masala,plain yogurt, green cardamom,cinnamon stick",169,222,7.9,,32,1.7,2,0,6.7,183,,98,
248,Fish Biryani ,Non-Veg,Rice,Lunch,"vegetable oil,potatoes,onion, garlic,ginger,chili powder,black pepper,turmeric,cumin,salt,white fish,  saffron,   clove,uncooked rice,",205,296,10,,31,1.3,3.3,0,19,413,,50,
249,,,,,,,,,,,,,,,,,,
250,Chicken Lollipop,Non-Veg,Poultry,Lunch,wing,27,88,6.5,,2.6,0.1,0.1,0,4.5,105,,22,
251,Crispy Chicken,Non-Veg,Poultry,Lunch,"Boneless Chicken,Oil  teaspoons,Refined flour,Salt to taste,Cornstarch ,Onion  Green chillies ,Green capsicum,Red capsicum,Green chilli",140g,377,,,4.4,0.1,0,0,40,118,,126,
252,Grilled Chicken Breast,Non-Veg,Poultry,Lunch,"Chicken,Olive oil ,spices,Seasonings,Lemon ",192,282,6.5,,0,0,0,0,57,413,,204,
253,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,
